Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Manger avec Nylsa"	"23.07.2021 20:00"	"23.07.2021 21:00"	"Rappel"	""	""
"Doc Emmanuel DV"	"30.07.2021 11:00"	"30.07.2021 12:00"	"Rappel"	""	""
"Fit avec Juju"	"16.09.2021 10:00"	"16.09.2021 11:00"	"Rappel"	""	""
"Soirée Anni Clem"	"30.06.2021 20:00"	"30.06.2021 21:00"	"Rappel"	""	""
"Manger avec Milan et Simon"	"11.05.2021 12:00"	"11.05.2021 13:00"	"Rappel"	""	""
"Final AI"	"31.05.2021 15:00"	"31.05.2021 18:00"	"Rappel"	""	""
"Manger chez Théo"	"23.07.2020 20:00"	"23.07.2020 21:00"	"Rappel"	""	""
"José au STCC"	"14.04.2021 17:30"	"14.04.2021 18:30"	"Rappel"	""	""
"Nem Studio"	"28.04.2021 16:00"	"28.04.2021 18:30"	"Rappel"	""	""
"Appeler Jess"	"15.09.2020 16:00"	"15.09.2020 17:00"	"Rappel"	""	""
"Regarder sponsoring IC / plus d’argent de sponsors"	"15.06.2021 18:30"	"15.06.2021 19:30"	"Rappel"	""	""
"Descente Rhône"	"05.09.2020 12:00"	"05.09.2020 13:00"	""	""	""
"CANCEL BLOOMBERG"	"22.03.2021 12:00"	"22.03.2021 13:00"	"Rappel"	""	""
"Physio"	"22.07.2020 14:30"	"22.07.2020 15:30"	"Rappel"	""	""
"Midi avec Eloi"	"25.03.2021 12:00"	"25.03.2021 13:00"	"Rappel"	""	""
"Anni Ameze"	"08.07.2020 20:30"	"08.07.2020 21:30"	"Rappel"	""	""
"EXA : Principles of Digital Communications"	"09.07.2021 16:15"	"09.07.2021 19:15"	"Rappel"	""	""
"Repas chez Fernando"	"20.11.2020 18:30"	"20.11.2020 19:30"	"Rappel"	""	""
"Contacter la rive lounge bar"	"29.08.2021"	"30.08.2021"	""	""	""
"Zoom avec Emma pour SHS"	"08.03.2021 18:30"	"08.03.2021 19:30"	"Rappel"	""	""
"Cancel Bloomberg"	"25.05.2021 11:00"	"25.05.2021 12:00"	"Rappel"	""	""
"Aprèm avec Sara"	"30.07.2021 12:00"	"30.07.2021 13:00"	"Rappel"	""	""
"2ème dose vaccin Covid"	"17.06.2021 09:25"	"17.06.2021 10:00"	"Rappel"	""	""
"Manger chez Fernando"	"14.11.2020 19:00"	"14.11.2020 20:00"	"Rappel"	""	""
"Rendre Homework 2 numerical methods"	"20.10.2020 12:00"	"20.10.2020 13:00"	"Rappel"	""	""
"Business plan Chris + PA"	"28.06.2021 20:00"	"28.06.2021 21:00"	"Rappel"	""	""
"Physio"	"19.10.2020 16:30"	"19.10.2020 17:30"	"Rappel"	""	""
"Meeting Alex Dherse"	"23.03.2021 18:00"	"23.03.2021 19:00"	"Rappel"	""	""
"AG EPFLRT"	"19.08.2021 19:00"	"19.08.2021 20:00"	"Rappel"	""	""
"Presentation Database"	"02.06.2021 14:00"	"02.06.2021 14:30"	"Rappel"	""	""
"Ligne Tia Sarah"	"19.06.2021 10:00"	"19.06.2021 11:00"	"Rappel"	""	""
"Khapta à Lausanne avec Pidoux"	"06.02.2021 19:00"	"06.02.2021 20:00"	"Rappel"	""	""
"Physio"	"26.10.2020 16:00"	"26.10.2020 17:00"	"Rappel"	""	""
"Bains avec les GUI"	"19.02.2021"	"21.02.2021"	""	""	""
"Soirée Crêpes Chris et Benji"	"09.12.2020 20:00"	"09.12.2020 21:00"	"Rappel"	""	""
"Meeting DV"	"02.06.2021 13:10"	"02.06.2021 13:20"	"Rappel"	""	""
"Anni Pidoux"	"08.03.2021 16:00"	"08.03.2021 17:00"	"Rappel"	""	""
"Soirée Sallaz Keran"	"09.02.2021 19:30"	"09.02.2021 20:30"	"Rappel"	""	""
"Réserver vols barça"	"07.05.2021 16:00"	"07.05.2021 17:00"	"Rappel"	""	""
"Call Tia Sarah"	"23.04.2021 16:30"	"23.04.2021 17:30"	"Rappel"	""	""
"Reunion database"	"05.05.2021 17:15"	"05.05.2021 18:15"	"Rappel"	""	""
"Team building sponso"	"16.04.2021 18:00"	"16.04.2021 19:00"	"Rappel"	""	""
"Soirée Team Fireball"	"17.06.2021 19:00"	"17.06.2021 20:00"	"Rappel"	""	""
"Internet Analytics - Deadline Lab 2"	"13.04.2021"	"14.04.2021"	""	""	""
"Réserver Patrick événement TCS avec Jade"	"17.09.2021 11:00"	"17.09.2021 12:00"	"Rappel"	""	""
"Midi avec Chris et Emma"	"26.09.2020 12:00"	"26.09.2020 13:00"	"Rappel"	""	""
"Weekly Team Leaders Meeting"	"17.09.2020 17:30"	"17.09.2020 18:30"	"Rappel"	""	""
"Meeting Semester Project"	"30.10.2020 16:00"	"30.10.2020 17:00"	"Rappel"	""	""
"Call Iris"	"24.02.2021 18:00"	"24.02.2021 19:00"	"Rappel"	""	""
"Repas chez Benji"	"10.11.2020 20:00"	"10.11.2020 21:00"	"Rappel"	""	""
"Plage eaux vives Tiago"	"22.07.2021 14:00"	"22.07.2021 18:00"	"Rappel"	""	""
"Bouffe Michael"	"16.09.2020 18:30"	"16.09.2020 19:30"	""	""	""
"Midi avec Élodie"	"08.10.2020 14:00"	"08.10.2020 15:00"	"Rappel"	""	""
"Soirée Flo"	"04.02.2021 18:15"	"04.02.2021 19:15"	"Rappel"	""	""
"Manger avec Bellet"	"12.03.2021 12:00"	"12.03.2021 13:00"	"Rappel"	""	""
"Workshop Waymo on driverless"	"29.08.2020"	"31.08.2020"	"Link on Racing Team Slack"	""	""
"Bière Pidoux"	"19.04.2021 17:00"	"19.04.2021 18:00"	"Rappel"	""	""
"Repas avec Emma"	"29.06.2021 19:00"	"29.06.2021 20:00"	"Rappel"	""	""
"Meeting SHS"	"27.03.2021 17:00"	"27.03.2021 18:00"	"Rappel"	""	""
"Business plan vidéo script"	"01.06.2021 17:00"	"01.06.2021 19:00"	"Rappel"	""	""
"Midterm AI"	"29.03.2021 16:00"	"29.03.2021 17:00"	"Rappel"	""	""
"Meeting with Carlos for Control"	"15.09.2020 17:00"	"15.09.2020 18:00"	"Rappel"	""	""
"Élodie et Cynthia à la maison"	"03.03.2021 09:00"	"03.03.2021 10:00"	"Rappel"	""	""
"Anni Tiff et Tim"	"20.09.2020 12:00"	"20.09.2020 13:00"	"Rappel"	""	""
"Vaccin tiques"	"05.07.2021 09:30"	"05.07.2021 10:30"	"Rappel"	""	""
"Verre avec PLD"	"27.07.2021 19:00"	"27.07.2021 20:00"	"Rappel"	""	""
"Chez les Gui"	"04.04.2021 19:00"	"04.04.2021 20:00"	"Rappel"	""	""
"Meeting Prof. Alahi"	"14.05.2021 16:00"	"14.05.2021 17:00"	"Rappel"	""	""
"Date avec Malory"	"21.07.2021 20:00"	"21.07.2021 21:00"	"Rappel"	""	""
"Meeting PA business plan"	"17.03.2021 15:00"	"17.03.2021 16:00"	"Rappel"	""	""
"Google hash code"	"25.02.2021 20:00"	"25.02.2021 21:00"	"Rappel"	""	""
"Verre avec Emma"	"16.07.2020 20:00"	"16.07.2020 21:00"	""	""	""
"Meeting Hesai"	"16.09.2021 09:00"	"16.09.2021 10:00"	"Rappel"	""	""
"Call PLD Marion"	"12.04.2021 19:00"	"12.04.2021 20:00"	"Rappel"	""	""
"Aprèm avec Flo"	"01.10.2020 15:00"	"01.10.2020 16:00"	""	""	""
"Repas avec Eloi"	"11.03.2021 12:00"	"11.03.2021 13:00"	"Rappel"	""	""
"BBQ anni Juju"	"16.06.2021 19:00"	"17.06.2021 00:00"	"Rappel"	""	""
"Meeting STCC"	"28.04.2021 10:30"	"28.04.2021 11:30"	"Rappel"	""	""
"Compnet exam"	"19.10.2020 10:00"	"19.10.2020 11:00"	"Rappel"	""	""
"Relire travail Sarah"	"28.07.2021 20:00"	"29.07.2021 00:00"	"Rappel"	""	""
"Compsec mini-exam"	"09.11.2020 12:00"	"09.11.2020 13:00"	"Rappel"	""	""
"Repas chez Emma"	"08.03.2021 19:30"	"08.03.2021 22:30"	"Rappel"	""	""
"Soirée musique Natkim et Alex"	"03.03.2021 20:00"	"03.03.2021 21:00"	"Rappel"	""	""
"Soirée Mile"	"29.01.2021 19:30"	"29.01.2021 20:30"	"Rappel"	""	""
"Meeting racing team Andrès"	"22.09.2020 15:30"	"22.09.2020 16:30"	""	""	""
"Repas chez Anabela"	"11.06.2021 19:30"	"11.06.2021 20:30"	"Rappel"	""	""
"Manor avec Jess"	"16.10.2020 17:00"	"16.10.2020 18:00"	"Rappel"	""	""
"Regarder match Espagne avec Pidoux"	"14.06.2021 21:00"	"14.06.2021 22:00"	"Rappel"	""	""
"Exam: Sig & Systems"	"20.08.2020 16:00"	"20.08.2020 19:00"	"Rappel"	""	""
"Soirée d’officialisation avec Théa"	"18.12.2020 20:00"	"18.12.2020 21:00"	"Rappel"	""	""
"Racing Team Photo"	"08.10.2020"	"10.10.2020"	""	""	""
"Meeting Nvidia"	"04.02.2021 11:00"	"04.02.2021 12:00"	"Rappel"	""	""
"Hôtel 7132 avec Théa"	"25.10.2020"	"27.10.2020"	""	""	""
"Soirée team banane"	"10.02.2021 21:00"	"10.02.2021 22:00"	"Rappel"	""	""
"Verre avec Clara"	"18.08.2020 20:00"	"18.08.2020 21:00"	""	""	""
"Lausanne avec Nicoboy"	"20.01.2021 15:30"	"20.01.2021 16:30"	"Rappel"	""	""
"Physio"	"09.11.2020 18:00"	"09.11.2020 19:00"	"Rappel"	""	""
"Physio"	"30.09.2020 17:00"	"30.09.2020 18:00"	""	""	""
"Envoyer carte étudiant UBS"	"15.02.2021"	"16.02.2021"	""	""	""
"Bières racing team"	"17.02.2021 14:00"	"17.02.2021 15:00"	"Rappel"	""	""
"Programme activ fitness"	"20.07.2021 11:00"	"20.07.2021 12:00"	"Rappel"	""	""
"Repas Fernando maison"	"21.05.2021 19:00"	"21.05.2021 20:00"	"Rappel"	""	""
"Simon"	"28.03.2021 19:00"	"28.03.2021 20:00"	"Rappel"	""	""
"Repas Chris et Benji"	"10.06.2021 19:00"	"10.06.2021 20:00"	"Rappel"	""	""
"Café Rhyan"	"15.09.2021 16:00"	"15.09.2021 17:00"	"Rappel"	""	""
"Anni Eva"	"13.10.2020 12:00"	"13.10.2020 13:00"	"Rappel"	""	""
"Meeting Victor EBS + actuators"	"21.12.2020 11:00"	"21.12.2020 12:00"	"Rappel"	""	""
"Anni Rina"	"17.07.2020 19:00"	"17.07.2020 20:00"	""	""	""
"Verre avec Clem Co et Mile"	"18.10.2020 20:00"	"18.10.2020 21:00"	"Rappel"	""	""
"Zoom with Behzad"	"21.08.2020 09:30"	"21.08.2020 10:30"	""	""	""
"Rendre computer security homework 2"	"23.10.2020 12:00"	"23.10.2020 13:00"	"Rappel"	""	""
"Manger avec Chris et Benji"	"16.01.2021 19:00"	"16.01.2021 20:00"	"Rappel"	""	""
"Zürich pour Racing Team"	"11.09.2021"	"13.09.2021"	""	""	""
"Décider crowdfunding Anna"	"22.07.2021 11:00"	"22.07.2021 12:00"	"Rappel"	""	""
"Arranger appart FMEL"	"28.09.2021 19:00"	"28.09.2021 20:00"	""	""	""
"Meeting Sponsoring"	"23.09.2021 18:00"	"23.09.2021 19:00"	"Rappel"	""	""
"Date Louise Tinder"	"26.09.2021 20:00"	"26.09.2021 23:00"	"Rappel"	""	""
"Travail Pathé"	"30.09.2021 17:30"	"30.09.2021 22:30"	"Rappel"	""	""
"Réunion team leaders"	"24.09.2021 17:15"	"24.09.2021 18:15"	"Rappel"	""	""
"AG EPFLRT"	"27.09.2021 18:00"	"27.09.2021 19:00"	""	""	""
"ADA : milestone 1 due"	"08.10.2021"	"09.10.2021"	""	""	""
"ADA: project milestone 2 due"	"12.11.2021"	"13.11.2021"	""	""	""
"ADA : milestone 3 due"	"17.12.2021"	"18.12.2021"	""	""	""
"Aller chez Chantal"	"25.09.2021 13:30"	"25.09.2021 14:30"	"Rappel"	""	""
"Meeting ST Electronics"	"27.09.2021 14:00"	"27.09.2021 15:00"	"Rappel"	""	""
"Créer groupe MTE"	"26.09.2021 12:00"	"26.09.2021 13:00"	"Rappel"	""	""
"Resto maman"	"01.10.2021 19:00"	"01.10.2021 23:00"	"Rappel"	""	""
"Appeler Stefan Wang"	"28.09.2021 11:00"	"28.09.2021 12:00"	"Rappel"	""	""
"Meeting sponsoring"	"29.09.2021 12:00"	"29.09.2021 13:00"	"Rappel"	""	""
"Bouffe avec Ragul"	"02.10.2021 18:00"	"02.10.2021 19:00"	"Rappel"	""	""
"Bouffe avec Nylsa"	"30.09.2021 11:30"	"30.09.2021 12:30"	"Rappel"	""	""
"Contrat ST Elctronics"	"28.09.2021 10:00"	"28.09.2021 11:00"	"Rappel"	""	""
"Amener sac à Rhyan"	"28.09.2021 21:00"	"28.09.2021 22:00"	"Rappel"	""	""
"Meeting TCS zoom"	"06.10.2021 14:00"	"06.10.2021 15:00"	"Rappel"	""	""
"Do ML course"	"29.09.2021 14:00"	"29.09.2021 15:00"	"Rappel"	""	""
"Visite musée SHS"	"06.10.2021 16:15"	"06.10.2021 18:15"	"Rappel"	""	""
"Signer deal MTE"	"30.09.2021 10:00"	"30.09.2021 11:00"	"Rappel"	""	""
"Appel Anne Dassault"	"30.09.2021 16:00"	"30.09.2021 17:00"	"Rappel"	""	""
"Midi avec Bellet"	"01.10.2021 12:00"	"01.10.2021 13:00"	"Rappel"	""	""
"Exercices ML"	"02.10.2021 13:30"	"02.10.2021 14:30"	"Rappel"	""	""
"Call Antje Julius Bäer"	"12.10.2021 16:00"	"12.10.2021 17:00"	"Rappel"	""	""
"Voir Amy"	"03.10.2021 17:00"	"03.10.2021 18:00"	"Rappel"	""	""
"Manger avec David"	"04.10.2021 12:00"	"04.10.2021 13:00"	"Rappel"	""	""
"Bière avec Oganes"	"05.10.2021 19:00"	"05.10.2021 20:00"	"Rappel"	""	""
"Forum EPFL"	"07.10.2021 07:30"	"07.10.2021 12:00"	"Rappel"	""	""
"Forum EPFL"	"08.10.2021 15:00"	"08.10.2021 18:30"	"Rappel"	""	""
"Crémaillère Nylsa"	"09.10.2021 20:30"	"10.10.2021 00:30"	"Rappel"	""	""
"Travail de groupe ML"	"06.10.2021 13:00"	"06.10.2021 16:00"	"Rappel"	""	""
"Nico Mant en Suisse"	"29.10.2021"	"01.11.2021"	""	""	""
"Verre avec Amy"	"04.10.2021 18:30"	"04.10.2021 19:30"	"Rappel"	""	""
"Café avec Mile"	"09.10.2021 18:00"	"09.10.2021 20:00"	"Rappel"	""	""
"Bouffe Ragul"	"06.10.2021 20:00"	"06.10.2021 23:00"	"Rappel"	""	""
"Petit tour avec Coline"	"10.10.2021 15:00"	"10.10.2021 16:00"	"Rappel"	""	""
"Fitness avec Julia"	"04.10.2021 19:00"	"04.10.2021 20:00"	"Rappel"	""	""
"Midi avec Flaminia"	"05.10.2021 13:00"	"05.10.2021 14:00"	"Rappel"	""	""
"Meeting groupe MTE"	"05.10.2021 11:00"	"05.10.2021 12:00"	"Rappel"	""	""
"Bouffe avec Ofé"	"07.10.2021 12:00"	"07.10.2021 13:00"	"Rappel"	""	""
"Payer H&M"	"07.10.2021 10:00"	"07.10.2021 11:00"	"Rappel"	""	""
"Do ADA"	"07.10.2021 14:00"	"07.10.2021 16:00"	"Rappel"	""	""
"Meeting Sponsoring"	"06.10.2021 12:00"	"06.10.2021 13:00"	"FREQ=WEEKLY;INTERVAL=1"	""	""
"Meeting Sponsoring"	"03.11.2021 12:30"	"03.11.2021 13:30"	""	""	""
"Meeting Communication"	"20.10.2021 18:00"	"20.10.2021 19:00"	"FREQ=WEEKLY;INTERVAL=1"	""	""
"Quizz EPFLRT"	"11.10.2021 19:00"	"11.10.2021 20:00"	"FREQ=WEEKLY;INTERVAL=1"	""	""
"Call Montblanc"	"07.10.2021 13:00"	"07.10.2021 14:00"	""	""	""
"Interview Dassault"	"11.10.2021 11:00"	"11.10.2021 13:00"	"Rappel"	""	""
"Bouffe avec Ragul"	"08.10.2021 20:00"	"08.10.2021 23:00"	"Rappel"	""	""
"Manger avec Ofé"	"12.10.2021 12:00"	"12.10.2021 13:00"	"Rappel"	""	""
"Manger avec Marin"	"12.10.2021 19:00"	"12.10.2021 22:00"	"Rappel"	""	""
"Midi avec Élodie"	"08.10.2021 12:00"	"08.10.2021 13:00"	"Rappel"	""	""
"Soirée EPFLRT"	"14.10.2021 19:00"	"15.10.2021 00:00"	"Rappel"	""	""
"Montreux Comedy Festival"	"06.12.2021"	"08.12.2021"	""	""	""
"When2meet statics"	"07.10.2021 19:00"	"07.10.2021 20:00"	"Rappel"	""	""
"Bière avec Gaetan & co"	"08.10.2021 18:00"	"08.10.2021 19:00"	"Rappel"	""	""
"Verre avec Clem"	"11.10.2021 20:30"	"11.10.2021 21:30"	"Rappel"	""	""
"Soirée avec Keran et Gaetan"	"13.10.2021 20:30"	"13.10.2021 23:00"	"Rappel"	""	""
"Bouffe chez Anabela"	"19.10.2021 19:00"	"19.10.2021 20:00"	"Rappel"	""	""
"Raclette Anniversaire Leonor"	"13.10.2021 20:00"	"13.10.2021 22:00"	"Rappel"	""	""
"Repas chez Papa"	"16.10.2021 19:30"	"16.10.2021 20:30"	"Rappel"	""	""
"Zürich avec Leonor"	"18.10.2021"	"19.10.2021"	""	""	""
"Bains avec Leonor"	"15.10.2021 19:00"	"15.10.2021 20:00"	"Rappel"	""	""
"Meeting statics"	"15.10.2021 16:00"	"15.10.2021 17:00"	"Rappel"	""	""
"Manger avec Marion et Jerem"	"21.10.2021 12:00"	"21.10.2021 13:00"	"Rappel"	""	""
"Meeting Communication avec André"	"10.10.2021 15:30"	"10.10.2021 16:30"	"Rappel"	""	""
"Presentation Calvin"	"05.11.2021"	"06.11.2021"	""	""	""
"Portugal"	"03.12.2021"	"07.12.2021"	""	""	""
"Appel Julien Deslile"	"11.10.2021 18:00"	"11.10.2021 19:00"	"Rappel"	""	""
"ADA: HW1 due"	"22.10.2021"	"23.10.2021"	""	""	""
"ADA: HW2 due"	"26.11.2021"	"27.11.2021"	""	""	""
"ML: Project 1 due"	"01.11.2021"	"02.11.2021"	""	""	""
"ML : Project 2 due"	"23.12.2021"	"24.12.2021"	""	""	""
"Call Montblanc"	"14.10.2021 11:00"	"14.10.2021 12:00"	""	""	""
"Midi avec Gao"	"13.10.2021 12:30"	"13.10.2021 13:30"	""	""	""
"Café avec Bellet"	"12.10.2021 15:00"	"12.10.2021 16:00"	""	""	""
"Midi avec Ragul"	"15.10.2021 12:00"	"15.10.2021 13:00"	"Rappel"	""	""
"Reunion EPFLRT avec André et Denis"	"21.10.2021 17:00"	"21.10.2021 18:00"	"Rappel"	""	""
"Soirée avec Chris et Benji"	"20.10.2021 19:00"	"20.10.2021 23:00"	"Rappel"	""	""
"Bibliothèque avec Jess"	"17.10.2021"	"18.10.2021"	""	""	""
"Meeting Monblanc"	"21.10.2021 11:00"	"21.10.2021 12:00"	"Rappel"	""	""
"Test sur piste avec Mercury"	"12.11.2021 08:00"	"12.11.2021 12:00"	"Rappel"	""	""
"Test sur piste avec Mercury"	"25.11.2021 12:00"	"25.11.2021 17:00"	"Rappel"	""	""
"EPFLRT - ST Electronics à l’atelier"	"21.10.2021 11:00"	"21.10.2021 16:30"	"Rappel"	""	""
"Finir rendu MGT"	"15.10.2021 11:00"	"15.10.2021 12:00"	"Rappel"	""	""
"Meeting Garrett"	"20.10.2021 14:00"	"20.10.2021 15:00"	"Rappel"	""	""
"ADA group project"	"19.10.2021 10:00"	"19.10.2021 12:00"	""	""	""
"Finish ADA code"	"17.10.2021 14:00"	"17.10.2021 15:00"	""	""	""
"Appeler Jennifer Swissquote"	"19.10.2021 15:30"	"19.10.2021 16:30"	"Rappel"	""	""
"Soirée Halloween Flo à Crans-Montana"	"30.10.2021 20:00"	"30.10.2021 23:00"	"Rappel"	""	""
"Rendez-vous Patrick Location à Bussigny"	"04.11.2021 10:00"	"04.11.2021 11:00"	"Rappel"	""	""
"Présentation en Spark pour ORP et Sam"	"04.11.2021 10:30"	"04.11.2021 11:00"	"Rappel"	""	""
"Envoyer travail MGT"	"16.10.2021 17:15"	"16.10.2021 18:15"	"Rappel"	""	""
"Présentation MGT"	"29.10.2021 10:00"	"29.10.2021 11:00"	"Rappel"	""	""
"Chocolaterie Lindt"	"18.10.2021 14:00"	"18.10.2021 15:00"	"Rappel"	""	""
"Soirée avec Heloïse"	"21.10.2021 20:00"	"21.10.2021 21:00"	"Rappel"	""	""
"Verre avec Milan"	"24.10.2021 20:30"	"24.10.2021 23:30"	"Rappel"	""	""
"Coiffeur lausanne"	"21.10.2021 09:00"	"21.10.2021 10:00"	"Rappel"	""	""
"Bosser textes du site avec Anna"	"21.10.2021 13:00"	"21.10.2021 14:00"	"Rappel"	""	""
"SHS : Atelier TILT 1"	"27.10.2021 16:00"	"27.10.2021 18:00"	""	""	""
"SHS : Atelier TILT 2"	"24.11.2021 16:00"	"24.11.2021 18:00"	""	""	""
"SHS : EXAM"	"22.12.2021 16:00"	"22.12.2021 19:00"	""	""	""
"Verre avec Juju et Gab"	"29.10.2021 20:00"	"29.10.2021 21:00"	"Rappel"	""	""
"Soirée avec Romain et Niels"	"22.10.2021 19:00"	"22.10.2021 23:00"	"Rappel"	""	""
"Verre avec Alex U"	"27.10.2021 19:30"	"27.10.2021 21:30"	"Rappel"	""	""
"Meeting Carl JE"	"19.10.2021 13:00"	"19.10.2021 14:00"	"Rappel"	""	""
"Appeler Théo"	"19.10.2021 14:30"	"19.10.2021 15:30"	"Rappel"	""	""
"Café Flaminia"	"19.10.2021 13:30"	"19.10.2021 14:00"	"Rappel"	""	""
"Bouffe avec Joris"	"27.10.2021 12:30"	"27.10.2021 16:00"	"Rappel"	""	""
"Meeting Communication"	"06.10.2021 19:00"	"06.10.2021 20:00"	"Attention: Repeated Event, needs manual resolving. Defined as: 1 x weekly until 20.10.2021"	""	""
"Meeting Sami BP"	"20.10.2021 13:00"	"20.10.2021 13:30"	"Rappel"	""	""
"Capter Théo"	"23.10.2021 15:00"	"23.10.2021 17:00"	"Rappel"	""	""
"Envoyer mail à Antje JB"	"26.10.2021 11:00"	"26.10.2021 12:00"	"Rappel"	""	""
"Meeting MAKE au SKIL"	"21.10.2021 16:30"	"21.10.2021 17:00"	""	""	""
"Call avec Ferrari"	"20.10.2021 11:00"	"20.10.2021 12:00"	"Rappel"	""	""
"Manger avec Emma Penfrat"	"28.10.2021 12:00"	"28.10.2021 13:00"	"Rappel"	""	""
"Midi avec Marioooon"	"26.10.2021 12:00"	"26.10.2021 13:30"	"Rappel"	""	""
"Rendez vous PA"	"21.10.2021 18:30"	"21.10.2021 19:30"	"Rappel"	""	""
"Meeting ADA finir travail"	"22.10.2021 10:00"	"22.10.2021 11:00"	"Rappel"	""	""
"Meeting Maffi Racing"	"23.10.2021 11:00"	"23.10.2021 12:00"	"Rappel"	""	""
"Meeting MGT"	"24.10.2021 11:00"	"24.10.2021 12:00"	"Rappel"	""	""
"Verre avec Nylsa"	"28.10.2021 19:15"	"28.10.2021 20:15"	"Rappel"	""	""
"Verre avec PA et Chris"	"25.10.2021 20:00"	"25.10.2021 23:00"	"Rappel"	""	""
"Projet de groupe MGT"	"26.10.2021 16:00"	"26.10.2021 17:00"	"FREQ=WEEKLY"	""	""
"Verre avec Rhyan"	"26.10.2021 21:00"	"26.10.2021 23:00"	"Rappel"	""	""
"Group project ML"	"26.10.2021 14:00"	"26.10.2021 16:00"	"Rappel"	""	""
"Interview RTS Forum"	"05.11.2021 18:00"	"05.11.2021 19:00"	"Rappel"	""	""
"Call avec Asia pour brochure"	"26.10.2021 13:30"	"26.10.2021 14:00"	"Rappel"	""	""
"Projet de groupe ML"	"02.11.2021 14:00"	"02.11.2021 16:00"	"FREQ=WEEKLY"	""	""
"Écrire à mediacom events"	"25.10.2021 18:00"	"25.10.2021 19:00"	"Rappel"	""	""
"Arma Jackson avec Ragul"	"13.11.2021 19:00"	"13.11.2021 20:00"	"Rappel"	""	""
"S’occuper du soutien IC"	"28.10.2021 14:00"	"28.10.2021 16:00"	"Rappel"	""	""
"ADA Project"	"29.10.2021 13:00"	"29.10.2021 16:00"	""	""	""
"Regarder textes site EPFLRT"	"26.10.2021 19:00"	"26.10.2021 20:00"	"Rappel"	""	""
"Soirée chez Gowtham"	"29.10.2021 22:00"	"30.10.2021 02:00"	"Rappel"	""	""
"Remise Bachelor Goutame"	"25.11.2021 20:00"	"26.11.2021 00:00"	"Rappel"	""	""
"Meeting Laura Ciak"	"28.10.2021 14:00"	"28.10.2021 15:00"	"Rappel"	""	""
"Call Dassault"	"28.10.2021 13:30"	"28.10.2021 14:00"	"Rappel"	""	""
"Événement Garrett"	"10.11.2021 12:15"	"10.11.2021 13:45"	"Rappel"	""	""
"Meeting Savinien"	"03.11.2021 10:00"	"03.11.2021 11:00"	"Rappel"	""	""
"Rendu TILT"	"19.12.2021"	"20.12.2021"	""	""	""
"Soirée Marin"	"02.11.2021 19:00"	"02.11.2021 23:00"	"Rappel"	""	""
"Aller chercher colis"	"28.10.2021 09:45"	"28.10.2021 10:00"	"Rappel"	""	""
"Mail mediacom events"	"28.10.2021 09:30"	"28.10.2021 10:30"	"Rappel"	""	""
"Atelier entrepreneur club"	"28.10.2021 18:15"	"28.10.2021 19:15"	"Rappel"	""	""
"Voir Nico"	"31.10.2021 13:00"	"31.10.2021 17:00"	"Rappel"	""	""
"Préparer présentation collégiens"	"31.10.2021 14:00"	"31.10.2021 15:00"	""	""	""
"Soirée Genève avec Hugo et Cez"	"06.11.2021 20:00"	"07.11.2021 00:00"	"Rappel"	""	""
"Bière + holy cow avec Hugo et Cez"	"03.11.2021 19:00"	"03.11.2021 23:00"	"Rappel"	""	""
"Meeting Marti"	"03.11.2021 10:00"	"03.11.2021 11:00"	"Rappel"	""	""
"Agathe ST"	"11.11.2021"	"12.11.2021"	""	""	""
"Rencontre événement collège Calvin"	"29.10.2021 12:15"	"29.10.2021 13:15"	"Rappel"	""	""
"Meeting châssis Jawad"	"03.11.2021 11:00"	"03.11.2021 12:00"	"Rappel"	""	""
"Marion + Flaminia"	"02.11.2021 12:00"	"02.11.2021 14:00"	"Rappel"	""	""
"Juju colo à Manor"	"30.10.2021 11:00"	"30.10.2021 12:00"	"Rappel"	""	""
"Voir Philippe"	"01.11.2021 20:00"	"01.11.2021 21:00"	"Rappel"	""	""
"Envoyer mail Dénis"	"30.10.2021 15:00"	"30.10.2021 16:00"	"Rappel"	""	""
"Projet de groupe ADA"	"02.11.2021 10:00"	"02.11.2021 12:00"	"FREQ=WEEKLY;INTERVAL=1"	""	""
"Rendez-vous Porsche"	"23.11.2021 10:00"	"23.11.2021 12:00"	""	""	""
"Soirée Hannah"	"05.11.2021 19:00"	"06.11.2021 00:00"	"Rappel"	""	""
"Soirée anni Sara"	"12.11.2021 22:00"	"13.11.2021 01:00"	"Rappel"	""	""
"Meeting Dassault"	"03.11.2021 12:00"	"03.11.2021 12:30"	""	""	""
"Bosser avec Mehdi au Rolex"	"03.11.2021 13:00"	"03.11.2021 16:00"	"Rappel"	""	""
"Call avec Mehmet"	"05.11.2021 16:00"	"05.11.2021 17:00"	"Rappel"	""	""
"Meeting CIS"	"18.11.2021 15:00"	"18.11.2021 16:00"	"Rappel"	""	""
"Envoyer mail SRG"	"03.11.2021 18:00"	"03.11.2021 19:00"	"Rappel"	""	""
"Brochure sponsoring Marti"	"03.11.2021 14:00"	"03.11.2021 15:00"	"Rappel"	""	""
"FIFA avec Mehdi"	"13.11.2021 18:00"	"13.11.2021 19:00"	"Rappel"	""	""
"Operation prostrate papa"	"22.11.2021"	"23.11.2021"	""	""	""
"Réunion roll-up"	"04.11.2021 12:45"	"04.11.2021 13:45"	""	""	""
